"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NACA",23120.9738008347,-0.133026639074288,0.0672559286170839,-1.97791691839785,0.0479380800232449,0.160999241107029
"NACA2",6.23257117496997,-0.372283980812973,0.140548877675618,-2.64878657851819,0.00807813275248937,0.0479504741836613
"NACA4P",12.0297699789201,-0.115876781436523,0.126068689540493,-0.919155913009661,0.358014027225,0.572032258755114
"NACAD",17.3801320797708,0.573799328447015,0.174398945071228,3.2901536658531,0.00100132683150421,0.0105853836953177
"NACC1",2399.89493526167,-0.235996003071873,0.0656309176322592,-3.59580532446913,0.000323389580795942,0.00452809535304827
"NACC2",1305.52281855349,0.0530472910405299,0.0726430540712038,0.730245881299726,0.46523990196146,0.665890221156049
"NADK",3204.64868594313,0.0336272328451563,0.0811061015547419,0.414607929619942,0.678428942338095,0.820349152022406
"NADK2",9094.68248500759,0.0122379828415821,0.110083469439818,0.111170032193367,0.911481515145574,0.955643665166731
"NADSYN1",1995.43685998168,-0.211363527769502,0.0707173882580085,-2.98884804679654,0.00280031360427027,0.0226084770222812
"NAE1",1124.31169564084,-0.0417757664593889,0.0534755592557699,-0.781212334023069,0.4346776206319,0.640319982813179
"NAF1",201.660025860165,0.120155850022454,0.0647307760087733,1.85623991293058,0.0634193693941853,0.193987763506536
"NAGA",2763.51783605274,-0.0139677801107027,0.0901163778700035,-0.154997131940343,0.876823578361806,0.938156944828023
"NAGK",1384.78870202627,-0.0839851060883367,0.06136844293775,-1.36853897651482,0.171143430425225,0.364385639208106
"NAGLU",3545.89288042544,0.114096788064376,0.0830614658255309,1.37364284304872,0.169552589345511,0.362313052782393
"NAGPA",1000.0519226998,-0.226257050909415,0.0799427041708305,-2.83024014831827,0.00465130771172973,0.0324360837676604
"NAGS",1696.86486874588,-0.312458859790635,0.173583961794398,-1.80004452347233,0.0718536082371806,0.210396501797467
"NAIF1",398.80547571865,-0.122038664408193,0.0494181171391311,-2.46951262964161,0.0135297242539476,0.068627161474675
"NAIP",14.3789651420801,0.263825219458526,0.142047278825681,1.85730569173585,0.0632676751070163,0.193726604265757
"NALCN",56.2223948102915,1.26947824482523,0.283235801618531,4.48205430800372,7.39279233805392e-06,0.000230657298500254
"NALCN-AS1",2.82165067482812,-0.403866804052525,0.29524284542628,-1.36791394036801,0.171339015670917,0.364476056530613
"NAMA",1.05282801621162,0.267865237448404,0.300520341858518,0.891338123042973,0.372747802371389,0.586458387912208
"NAMPT",7442.41997324996,0.414328934257539,0.145074914763011,2.85596538129539,0.00429061914109127,0.030604971886875
"NANOG",0.833022126529452,-0.250559376780094,0.233887666259902,-1.07128084514583,0.284043169908738,0.49805119636787
"NANOGNB",0.123888629799848,0.0340443695381894,1.11292024774787,0.0305901250400307,0.975596417542308,NA
"NANOGP8",0.350266307253574,0.396839091066609,0.350510487991434,1.13217465571617,0.257561013085968,0.469665733312153
"NANOS1",68.2608429780442,-0.351524221606221,0.208486660873495,-1.68607535913061,0.0917812853809664,0.245410391366373
"NANOS2",0.257908252105766,-0.359373123943377,0.467972654539398,-0.767936161349193,0.442525112528558,NA
"NANOS3",3.90450717199721,-0.0350876649353221,0.237963442739281,-0.147449812170372,0.88277699072655,0.940820532676425
"NANP",302.328809626625,-0.0430637511130431,0.0616900883874898,-0.698065965517015,0.485135941398414,0.680500888467549
"NANS",1840.52258886529,-0.229650546738734,0.0798654936919298,-2.87546643891765,0.00403431031571949,0.0292394334719526
"NAP1L1",7527.93508182374,-0.188822661565642,0.0851523956739405,-2.21746740148883,0.0265911682789844,0.108460321402561
"NAP1L2",91.7652268180911,-0.620776229626014,0.248431091786769,-2.49878638443063,0.0124619404851277,0.0647995548327434
"NAP1L3",27.1485160895913,0.162967071310266,0.213916538089876,0.761825489349479,0.446164165277497,0.650649675872772
"NAP1L4",3830.1103798869,-0.131188935456403,0.0480156106537116,-2.73221424595716,0.00629102170974678,0.0401794678688531
"NAP1L5",147.177573736325,0.469197258529817,0.13156247348704,3.56634567664948,0.000361993817562818,0.00491277323835253
"NAP1L6",12.8872198419048,-0.682114435198864,0.447040684857559,-1.52584419786357,0.127048670552892,0.303629012483717
"NAPA",3879.41043189194,0.0299292583495493,0.0715319900296771,0.418403826555536,0.675651889299224,0.818546168274713
"NAPA-AS1",61.6553150896096,-0.0645087515711152,0.131456619501572,-0.490722732835405,0.623622565790691,0.784752115162895
"NAPB",411.412799762346,0.0807106693490682,0.0749984419206202,1.07616461465285,0.281853642094629,0.495962266500254
"NAPEPLD",597.337702772602,-0.0603280380614123,0.0685631872306835,-0.87988963900462,0.378919098091599,0.591729403882538
"NAPG",928.202107783628,0.0155423650019811,0.0594486805659597,0.261441715005541,0.793751891385459,0.891792205080661
"NAPRT",7083.00862706909,-0.00172456949237014,0.124823328824031,-0.013816083168246,0.988976711245595,0.995887043813002
"NAPSA",28.8391073610492,-0.389122041411604,0.117119658953861,-3.32243147638345,0.000892365862794603,0.00969475425810444
"NAPSB",168.352634178931,0.0535926168246346,0.174908281357881,0.306404113107592,0.75929697706363,0.871901266144127
"NARF",2089.69012177064,-0.394815950234182,0.0964420413498648,-4.09381577482272,4.24331505751827e-05,0.00096041270826415
"NARS",4676.59573310608,-0.0277651870952794,0.0580465972037033,-0.478325835325763,0.632418310921918,0.790196515298192
"NARS2",907.501425139665,-0.0815056671921785,0.0737295099197788,-1.10546872318642,0.268956539682798,0.481784280497557
"NASP",2850.14458493049,-0.204812226228126,0.0792641840709979,-2.58391893676308,0.0097684750826593,0.0549509146644018
"NAT1",204.948115851485,0.184249637697798,0.104247019365161,1.76743314887882,0.0771557155120548,0.220071768861674
"NAT10",1571.93017394644,-0.135232175925731,0.0435779460058388,-3.10322510169735,0.00191423980038017,0.01699629931729
"NAT14",320.047614429814,-0.155959291377076,0.146242114693703,-1.06644581626657,0.286222159933622,0.500339669790725
"NAT16",7.7417298481434,-0.58912839945236,0.243016929886611,-2.42422780884954,0.0153409786810861,0.0745409709538551
"NAT2",347.511058850559,0.488462743016013,0.266095252155778,1.83566876544665,0.0664066601397099,0.200051528415693
"NAT8",2218.95887838423,0.195195407906463,0.177347638564404,1.10063719757722,0.271054589427775,0.484091340164172
"NAT8B",164.753849668962,0.0399344799305588,0.235576447127704,0.169518134845249,0.865389109239881,0.931000826693422
"NAT8L",23.1098125651063,-0.725850769069369,0.221131677403358,-3.28243686111679,0.00102914029901036,0.010782560452292
"NAT9",1289.86544143195,-0.336243531846836,0.0862879844105268,-3.89675960267089,9.74883005332167e-05,0.00181963845532704
"NATD1",510.620089906038,-0.107495526964942,0.0866532976494821,-1.24052436411328,0.214781508251623,0.419905889631752
"NAV1",344.488092280567,0.415911331497228,0.110011077885677,3.78063136450167,0.000156431153111356,0.00257697821046974
"NAV2",1834.35089001205,0.523461977155805,0.13484952085737,3.88182304117692,0.000103676311752302,0.00189506700989863
"NAV2-AS2",1.14099480262861,0.815030588436192,0.367691893797091,2.21661288210494,0.0266495565165553,0.108571318231389
"NAV2-AS4",5.57988644880375,-0.0682983818695298,0.282498980171637,-0.241765056383687,0.808962216733481,0.900003390478878
"NAV2-AS5",1.33896927348819,-0.756202229316397,0.282144843121902,-2.68019156738469,0.00735800379096897,0.0451431538695852
"NAV3",289.656831782277,-0.438378979294563,0.256947422477856,-1.70610382103499,0.0879887512854285,0.238949070116883
"NAXD",2741.82453078233,0.143444655212998,0.0856998790511484,1.67380230638815,0.0941694589285094,0.249158526893559
"NAXE",6264.53720282904,-0.213659734560902,0.090644365636611,-2.35712096455563,0.0184172463809503,0.0842087038846014
"NBAS",1619.37402472835,-0.161885947794569,0.0613431400417685,-2.63902284239674,0.0083145378355982,0.0489695535299271
"NBAT1",0.417638288758416,0.427046460210771,0.391313235976556,1.09131616553945,0.275133786971237,0.488657719398529
"NBDY",348.381122963175,0.0934807396271016,0.110102336255465,0.849035023291445,0.395861804129016,0.60638700798794
"NBEA",72.5180458496247,0.468266766388729,0.190378192536048,2.45966599509586,0.0139066370732275,0.069846397912832
"NBEAL1",306.223565890151,0.268741836001392,0.090586931552671,2.96667335337586,0.00301040599882746,0.0237968101064029
"NBEAL2",812.507891841215,0.117987178525858,0.087923038342581,1.34193700251959,0.179616422782381,0.375865204051932
"NBN",1674.35655247858,0.0570517806892609,0.0758702037050998,0.751965566232242,0.452071766522926,0.655326093431891
"NBPF1",368.268838109652,-0.0430278729231578,0.101761367531699,-0.422831119184346,0.67241848127001,0.816576986282898
"NBPF10",59.6844564944094,-0.0159669435928346,0.124345584010493,-0.128407805712564,0.897826254231478,0.948140582689863
"NBPF11",338.400503478994,0.0147133572618156,0.115366617622697,0.127535656024303,0.898516454158036,0.948513620965721
"NBPF12",550.889955531326,0.290552842763619,0.137132344547993,2.1187768919238,0.0341093265271518,0.128017459166786
"NBPF14",252.382241828336,0.0435390235932101,0.114135372235282,0.381468275264021,0.702855807421454,0.836704893246994
"NBPF15",317.199284693416,0.0623383503552175,0.154845610113803,0.40258390476425,0.687254352128224,0.82682057185737
"NBPF19",189.773714276343,0.0727250788604326,0.111977315714932,0.64946260227896,0.516039411449762,0.705620768446464
"NBPF20",156.44435743726,0.165949248621302,0.117288007382111,1.41488675888795,0.157101700870657,0.34535639026096
"NBPF25P",38.710582286391,-0.00125212739438879,0.0946512187189659,-0.0132288565465444,0.989445207458104,0.995930640338541
"NBPF26",35.9481152517121,0.246781558466637,0.150918165629876,1.63520115313265,0.102006886514912,0.262792333759011
"NBPF3",74.8720320607705,0.0443294269294275,0.150099442173395,0.295333722014891,0.767738958307442,0.877315380103736
"NBPF4",0.992141307189611,-0.035069123282184,0.589379143162035,-0.0595018057375381,0.952552427256883,0.976994585884148
"NBPF6",0.540350383741793,0.109891154640534,0.698615291194359,0.157298524704009,0.8750095829017,0.936846985312433
"NBPF7",0.421263667112404,-0.298245239219579,0.421033311415182,-0.708364946747595,0.478718654639507,0.675794942262807
"NBPF8",189.762271025481,0.327165520658161,0.153147103614034,2.13628278261594,0.0326563713936126,0.124428997836993
"NBPF9",341.28082367112,0.194026051762929,0.127623751395404,1.52029735563718,0.12843625834934,0.30544702886515
"NBR1",6603.50220173852,-0.0540108675465298,0.0719846855144199,-0.750310530087825,0.453067702067314,0.655956340253302
"NBR2",251.248385011333,-0.164241543979644,0.0934896740549673,-1.75678806926932,0.0789539394271201,0.223346135233481
"NCALD",860.858041506925,0.404933600141528,0.160888784890325,2.51685411396178,0.0118407845751959,0.0628059642527606
"NCAM1",58.6946681260075,0.723659522968854,0.215760256468017,3.353998251648,0.000796528660827675,0.00893301200615897
"NCAM1-AS1",3.04952259619244,-1.27590498130936,0.371153482166573,-3.43767482352958,0.000586731832735627,0.0070933118714395
"NCAM2",44.6565416949103,0.445494066773582,0.298965668228791,1.49011780989065,0.136193262089431,0.316665486180741
"NCAN",5.50136925463984,-0.218218299202609,0.245345320076612,-0.889433306225152,0.373770251750726,0.587194867136754
"NCAPD2",1228.94719065412,-0.372465716121348,0.100640020846897,-3.70097018052071,0.000214776717577819,0.003289981751183
"NCAPD3",567.023232490757,-0.138008522942178,0.0834934944269302,-1.65292546310847,0.0983460341774479,0.256327105045364
"NCAPG",410.054310674878,-0.479307801341734,0.14968434379413,-3.20212381063015,0.00136418351337301,0.0131663907657436
